S_AMPEAK_TT,S_AMOFFPEAK_TTV,S_AMOFFPEAK_TT,S_PMOFFPEAK_TT,S_PMPEAK_TT,S_EVENING_TT,S_AMOFFPEAK_OCCUPANCY,S_PMOFFPEAK_OCCUPANCY,S_PMPEAK_OCCUPANCY,D_AMPEAK_OCCUPANCY,D_AMOFFPEAK_OCCUPANCY,D_PMOFFPEAK_OCCUPANCY,folder,m0,m2,m4,m5,m7,m8,m9,m10,m15,m17,m18,m999,m1001,m1015
-0.33333333333333337,0.0,-1.0,-1.0,-1.0,0.0,-0.33333333333333337,-0.33333333333333337,-1.0,-1.0,-0.33333333333333337,-0.6666666666666666,/projects/vsokolov/timing-austin//experiments/Sim0,1344404,321874,16427,907,24035,103111,22213,73100,3671,49573,62330,1854,358,83660
-0.33333333333333337,0.0,-0.33333333333333337,-1.0,-1.0,0.0,-0.33333333333333337,-0.33333333333333337,-1.0,-1.0,-0.33333333333333337,-0.6666666666666666,/projects/vsokolov/timing-austin//experiments/Sim1,1330951,320442,17030,1033,23932,97057,21952,73091,3663,49573,62330,1786,361,86082
-0.33333333333333337,-0.6666666666666666,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,0.0,-1.0,-1.0,-0.33333333333333337,-0.33333333333333337,-1.0,0.0,/projects/vsokolov/timing-austin//experiments/Sim10,1331309,323916,17551,1218,24081,94596,23082,72620,3638,49573,62330,1743,293,84830
-1.0,-0.33333333333333337,-1.0,-0.6666666666666666,-0.6666666666666666,-1.0,-0.6666666666666666,-0.33333333333333337,-1.0,-1.0,-0.6666666666666666,0.0,/projects/vsokolov/timing-austin//experiments/Sim100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.0,-0.33333333333333337,-1.0,-0.6666666666666666,-0.6666666666666666,-1.0,0.0,-0.33333333333333337,-1.0,-1.0,-0.6666666666666666,0.0,/projects/vsokolov/timing-austin//experiments/Sim101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.0,-0.33333333333333337,-1.0,-0.6666666666666666,-0.6666666666666666,-1.0,0.0,-0.33333333333333337,-1.0,-1.0,0.0,0.0,/projects/vsokolov/timing-austin//experiments/Sim102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.0,-0.33333333333333337,-1.0,-0.6666666666666666,-0.6666666666666666,-1.0,0.0,-0.33333333333333337,-1.0,-1.0,0.0,-0.6666666666666666,/projects/vsokolov/timing-austin//experiments/Sim103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.0,-0.6666666666666666,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,0.0,-1.0,-1.0,-0.33333333333333337,-0.33333333333333337,-1.0,0.0,/projects/vsokolov/timing-austin//experiments/Sim11,1331693,325412,18105,1126,24004,92762,23229,71975,3584,49573,62330,1827,269,84220
-1.0,-0.6666666666666666,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.6666666666666666,-1.0,-1.0,-0.33333333333333337,-0.33333333333333337,-1.0,0.0,/projects/vsokolov/timing-austin//experiments/Sim12,1340692,326691,16614,766,23992,102521,21907,73692,3784,49573,62330,1723,279,84097
-0.6666666666666666,-1.0,-0.33333333333333337,-0.6666666666666666,0.0,-1.0,0.0,-0.33333333333333337,-0.6666666666666666,-0.33333333333333337,0.0,-1.0,/projects/vsokolov/timing-austin//experiments/Sim13,1353197,324626,17316,769,23483,91439,22130,73019,3949,49573,62330,1826,296,83619
