design,iteration,f
0.0,10.0,749606.375
0.0,2.0,769920.875
0.0,3.0,759763.0
0.0,4.0,755797.75
0.0,5.0,752010.375
0.0,6.0,747795.125
0.0,7.0,748527.125
0.0,8.0,754286.5625
0.0,9.0,751020.875
1.0,10.0,753832.5625
1.0,2.0,767421.3125
1.0,3.0,762163.8125
1.0,4.0,753580.4375
1.0,5.0,752893.0
1.0,6.0,755336.6875
1.0,7.0,755195.625
1.0,8.0,752277.875
1.0,9.0,755261.3125
10.0,10.0,769390.25
10.0,2.0,802723.5625
10.0,3.0,778237.6875
10.0,4.0,769983.1875
10.0,5.0,764939.1875
10.0,6.0,766425.75
10.0,7.0,763757.875
10.0,8.0,766041.625
10.0,9.0,765396.0
100.0,2.0,1022872.6875
100.0,3.0,2360401.75
101.0,2.0,999184.6875
101.0,3.0,2334965.75
102.0,2.0,893939.375
102.0,3.0,2323084.5
103.0,2.0,897181.3125
103.0,3.0,1778338.5
11.0,10.0,767091.0
11.0,2.0,830187.5625
11.0,3.0,806640.5625
11.0,4.0,780483.8125
11.0,5.0,768179.375
11.0,6.0,767600.5625
11.0,7.0,770590.75
11.0,8.0,767734.0625
11.0,9.0,765369.0625
12.0,10.0,771924.0625
12.0,2.0,838529.625
12.0,3.0,808748.625
12.0,4.0,787835.8125
12.0,5.0,772572.1875
12.0,6.0,769969.75
12.0,7.0,772016.1875
12.0,8.0,772927.9375
12.0,9.0,771259.1875
13.0,10.0,756109.75
13.0,2.0,772019.0
13.0,3.0,759549.875
13.0,4.0,753586.6875
13.0,5.0,751450.5
13.0,6.0,752643.375
13.0,7.0,754096.5625
13.0,8.0,753057.625
13.0,9.0,755439.8125
14.0,10.0,753549.125
14.0,2.0,774734.9375
14.0,3.0,759128.1875
14.0,4.0,754589.125
14.0,5.0,755806.25
14.0,6.0,754010.6875
14.0,7.0,752036.8125
14.0,8.0,753937.625
14.0,9.0,756729.0
15.0,10.0,760609.0625
15.0,2.0,786998.25
15.0,3.0,771539.0
15.0,4.0,761681.875
15.0,5.0,763630.75
15.0,6.0,761659.0
15.0,7.0,763274.5
15.0,8.0,761236.8125
15.0,9.0,759387.1875
16.0,10.0,764080.875
16.0,2.0,786806.5625
16.0,3.0,774788.375
16.0,4.0,766886.9375
16.0,5.0,762910.0625
16.0,6.0,763075.5625
16.0,7.0,765263.5625
16.0,8.0,760743.375
16.0,9.0,763461.625
17.0,10.0,764516.5625
17.0,2.0,853576.875
17.0,3.0,803693.0
17.0,4.0,788887.3125
17.0,5.0,768518.75
17.0,6.0,763507.0
17.0,7.0,760791.125
17.0,8.0,762988.8125
17.0,9.0,763682.875
18.0,10.0,761478.9375
18.0,2.0,786291.0
18.0,3.0,775742.375
18.0,4.0,766748.8125
18.0,5.0,763829.875
18.0,6.0,762143.8125
18.0,7.0,760530.75
18.0,8.0,761844.0
18.0,9.0,762175.3125
19.0,10.0,760201.9375
19.0,2.0,802345.4375
19.0,3.0,788961.9375
19.0,4.0,772826.5
19.0,5.0,763791.625
19.0,6.0,761784.1875
19.0,7.0,759664.5625
19.0,8.0,764288.1875
19.0,9.0,758820.6875
2.0,10.0,761163.125
2.0,2.0,799872.875
2.0,3.0,776149.9375
2.0,4.0,763044.625
2.0,5.0,760429.0
2.0,6.0,763199.625
2.0,7.0,759031.625
2.0,8.0,762070.125
2.0,9.0,761348.1875
20.0,10.0,758328.0625
20.0,2.0,798177.0
20.0,3.0,786288.4375
20.0,4.0,770692.8125
20.0,5.0,763194.3125
20.0,6.0,761636.0625
20.0,7.0,757802.5
20.0,8.0,759208.5625
20.0,9.0,760304.5625
21.0,10.0,756792.875
21.0,2.0,787781.875
21.0,3.0,770313.0
21.0,4.0,762430.5
21.0,5.0,758566.6875
21.0,6.0,757725.125
21.0,7.0,758942.5625
21.0,8.0,759765.25
21.0,9.0,758014.9375
22.0,10.0,758969.125
22.0,2.0,785071.0
22.0,3.0,771614.125
22.0,4.0,762503.0
22.0,5.0,759011.375
22.0,6.0,757841.125
22.0,7.0,755866.5
22.0,8.0,758479.625
22.0,9.0,758547.9375
23.0,10.0,757616.4375
23.0,2.0,828952.625
23.0,3.0,798957.0
23.0,4.0,787381.25
23.0,5.0,771287.625
23.0,6.0,763544.1875
23.0,7.0,760355.1875
23.0,8.0,758090.6875
23.0,9.0,759065.9375
24.0,10.0,757479.8125
24.0,2.0,790801.625
24.0,3.0,772701.3125
24.0,4.0,761308.6875
24.0,5.0,757299.0
24.0,6.0,755913.4375
24.0,7.0,757426.5
24.0,8.0,754934.875
24.0,9.0,756049.75
25.0,10.0,755883.375
25.0,2.0,783007.5625
25.0,3.0,771231.5625
25.0,4.0,761081.75
25.0,5.0,755157.3125
25.0,6.0,755892.0625
25.0,7.0,756160.875
25.0,8.0,756242.6875
25.0,9.0,756645.3125
26.0,10.0,755806.5625
26.0,2.0,821883.1875
26.0,3.0,777456.375
26.0,4.0,765742.0625
26.0,5.0,759669.0
26.0,6.0,757708.0
26.0,7.0,757044.6875
26.0,8.0,757661.875
26.0,9.0,754921.4375
27.0,10.0,757770.3125
27.0,2.0,777375.5625
27.0,3.0,772364.0625
27.0,4.0,759972.625
27.0,5.0,758645.125
27.0,6.0,754431.5625
27.0,7.0,756010.375
27.0,8.0,756313.0
27.0,9.0,757005.0625
28.0,10.0,755094.0625
28.0,2.0,803389.125
28.0,3.0,773635.9375
28.0,4.0,766012.0625
28.0,5.0,759657.75
28.0,6.0,753784.1875
28.0,7.0,752546.6875
28.0,8.0,754857.125
28.0,9.0,751835.8125
29.0,10.0,764141.875
29.0,2.0,805652.8125
29.0,3.0,775652.6875
29.0,4.0,762003.5625
29.0,5.0,760570.125
29.0,6.0,758423.75
29.0,7.0,761445.9375
29.0,8.0,762229.6875
29.0,9.0,761385.125
3.0,10.0,763396.8125
3.0,2.0,810997.5
3.0,3.0,774817.25
3.0,4.0,765649.9375
3.0,5.0,764055.0
3.0,6.0,762471.375
3.0,7.0,763204.4375
3.0,8.0,763745.125
3.0,9.0,761310.5625
30.0,10.0,757329.4375
30.0,2.0,803287.625
30.0,3.0,764005.25
30.0,4.0,759995.625
30.0,5.0,758930.5
30.0,6.0,762566.3125
30.0,7.0,761931.9375
30.0,8.0,758678.9375
30.0,9.0,760761.3125
31.0,10.0,761871.9375
31.0,2.0,831565.125
31.0,3.0,803719.375
31.0,4.0,777920.4375
31.0,5.0,762558.3125
31.0,6.0,758440.5625
31.0,7.0,760976.5625
31.0,8.0,760399.8125
31.0,9.0,760688.1875
32.0,10.0,774302.9375
32.0,2.0,833025.9375
32.0,3.0,804149.3125
32.0,4.0,778233.125
32.0,5.0,763296.375
32.0,6.0,761029.0
32.0,7.0,757349.3125
32.0,8.0,758518.9375
32.0,9.0,758964.375
33.0,10.0,755398.6875
33.0,2.0,825285.3125
33.0,3.0,797883.0
33.0,4.0,773630.375
33.0,5.0,762924.1875
33.0,6.0,757748.375
33.0,7.0,756510.5625
33.0,8.0,756741.3125
33.0,9.0,756168.375
34.0,10.0,757937.25
