,mode,million_VMT,million_VHT,speed_mph,count,run_id
0,SOV,43.63975632397303,2.615366667805176,16.685903686535724,5397568.0,0
27,SOV,43.80432600918604,2.059490555954522,21.269495935553753,5546064.0,1
40,SOV,41.77918070386582,4.093266701132948,10.206806385790117,4993140.0,3
54,SOV,41.90131737306802,3.913263157625461,10.70751331696625,5012900.0,4
66,SOV,41.91658422976784,3.946898269702284,10.620132915898445,5010120.0,5
71,SOV,41.87481241802914,3.9292271105041503,10.657264454397056,5011216.0,7
94,SOV,41.82792481571259,4.106881514703369,10.184838463432936,4988452.0,8
99,SOV,41.97387278122427,3.9623110249088542,10.59328066811459,5026680.0,9
121,SOV,42.33228393934074,2.9933222209976535,14.142240899555306,5183840.0,10
194,SOV,41.9125457074592,2.01291463786438,20.82181972302944,5315560.0,11
208,SOV,41.54974889914492,1.8649577075029162,22.279190960731185,5312772.0,12
210,SOV,43.82898922445501,2.3525057801062688,18.630767922055917,5514640.0,13
225,SOV,43.836330903106294,2.4043138895370144,18.232366037509195,5501996.0,14
241,SOV,43.00803164142551,2.425327974052599,17.732872461600028,5437320.0,15
264,SOV,43.336343269898954,1.903293797052002,22.769129672477415,5531916.0,18
278,SOV,43.324559061813666,1.8921400903961858,22.89712018772466,5535204.0,19
292,SOV,43.0706713149614,1.7769388800137669,24.238690367688793,5565872.0,20
294,SOV,43.07466399412204,1.7615148190993246,24.453194220725567,5566448.0,21
309,SOV,43.0555866682741,1.7650111163714601,24.3939464567161,5565960.0,22
323,SOV,43.0589378461297,1.743987959995592,24.689928390468094,5569176.0,23
348,SOV,44.12196465186892,2.139442052819553,20.623117412187423,5521176.0,24
361,SOV,43.27421669072693,2.7574028732685005,15.693831724862038,5294640.0,25
364,SOV,44.254311241781835,2.330781144719577,18.986901169181284,5504264.0,26
391,SOV,44.291040061865196,2.3705955484413654,18.683507648947522,5499744.0,27
399,SOV,44.22234740099323,2.2656795244114853,19.51835946987254,5529408.0,28
406,SOV,43.12463838901853,4.587623546635743,9.400212975330826,5035680.0,29
426,SOV,43.30648094913197,4.296841220376994,10.078678435628202,5076376.0,30
436,SOV,43.732568259798704,3.6917282894706895,11.846096145409707,5194464.0,31
460,SOV,43.39812490631777,2.4053762184322105,18.042136017543253,5374296.0,33
474,SOV,43.677821991555376,2.923184605081516,14.941862349585472,5321944.0,34
485,SOV,41.772030807557734,1.6738269426701524,24.956003361328023,5474908.0,35
490,SOV,42.366468702877675,3.194330351474304,13.263020427215348,5194432.0,36
